,Home_Team,Away_Team,Result,Link,Season,Round,League
83,Karlsruher SC,Erzgebirge Aue,2-1,https://www.besoccer.com/match/karlsruher-sc/fc-erzgebirge-aue/202216320,2022,10,2_liga
84,Heidenheim,FC St. Pauli,2-4,https://www.besoccer.com/match/heidenheim/st-pauli/202216322,2022,10,2_liga
85,Ingolstadt 04,Holstein Kiel,1-1,https://www.besoccer.com/match/fc-ingolstadt-04/holstein-kiel/202216327,2022,10,2_liga
86,Hamburger SV,Fortuna Düsseldorf,1-1,https://www.besoccer.com/match/hamburger-sv/fortuna-dusseldorf/202216319,2022,10,2_liga
87,Darmstadt 98,Werder Bremen,3-0,https://www.besoccer.com/match/darmstadt-98/werder-bremen/202216321,2022,10,2_liga
88,Dynamo Dresden,Nürnberg,0-1,https://www.besoccer.com/match/sg-dynamo-dresden/fc-nurnberg/202216325,2022,10,2_liga
89,Hansa Rostock,Sandhausen,1-1,https://www.besoccer.com/match/hansa-rostock/sv-sandhausen/202216326,2022,10,2_liga
90,Erzgebirge Aue,Ingolstadt 04,1-0,https://www.besoccer.com/match/fc-erzgebirge-aue/fc-ingolstadt-04/202216334,2022,11,2_liga
91,Paderborn,Hamburger SV,1-2,https://www.besoccer.com/match/paderborn/hamburger-sv/202216331,2022,11,2_liga
92,Holstein Kiel,Darmstadt 98,1-1,https://www.besoccer.com/match/holstein-kiel/darmstadt-98/202216329,2022,11,2_liga
93,Fortuna Düsseldorf,Karlsruher SC,3-1,https://www.besoccer.com/match/fortuna-dusseldorf/karlsruher-sc/202216330,2022,11,2_liga
94,Nürnberg,Heidenheim,4-0,https://www.besoccer.com/match/fc-nurnberg/heidenheim/202216333,2022,11,2_liga
95,Schalke 04,Dynamo Dresden,3-0,https://www.besoccer.com/match/schalke-04/sg-dynamo-dresden/202216328,2022,11,2_liga
96,FC St. Pauli,Hansa Rostock,4-0,https://www.besoccer.com/match/st-pauli/hansa-rostock/202216332,2022,11,2_liga
97,Jahn Regensburg,Hannover 96,3-1,https://www.besoccer.com/match/ssv-jahn-regensburg/hannover-96/202216335,2022,11,2_liga
98,Sandhausen,Werder Bremen,2-2,https://www.besoccer.com/match/sv-sandhausen/werder-bremen/202216336,2022,11,2_liga
99,Darmstadt 98,Nürnberg,2-0,https://www.besoccer.com/match/darmstadt-98/fc-nurnberg/202216340,2022,12,2_liga
100,Heidenheim,Schalke 04,1-0,https://www.besoccer.com/match/heidenheim/schalke-04/202216341,2022,12,2_liga
101,Werder Bremen,FC St. Pauli,1-1,https://www.besoccer.com/match/werder-bremen/st-pauli/202216337,2022,12,2_liga
102,Hannover 96,Erzgebirge Aue,1-1,https://www.besoccer.com/match/hannover-96/fc-erzgebirge-aue/202216342,2022,12,2_liga
103,Dynamo Dresden,Sandhausen,0-1,https://www.besoccer.com/match/sg-dynamo-dresden/sv-sandhausen/202216343,2022,12,2_liga
104,Hamburger SV,Holstein Kiel,1-1,https://www.besoccer.com/match/hamburger-sv/holstein-kiel/202216338,2022,12,2_liga
105,Karlsruher SC,Paderborn,2-4,https://www.besoccer.com/match/karlsruher-sc/paderborn/202216339,2022,12,2_liga
106,Hansa Rostock,Fortuna Düsseldorf,2-1,https://www.besoccer.com/match/hansa-rostock/fortuna-dusseldorf/202216344,2022,12,2_liga
107,Ingolstadt 04,Jahn Regensburg,0-3,https://www.besoccer.com/match/fc-ingolstadt-04/ssv-jahn-regensburg/202216345,2022,12,2_liga
108,Nürnberg,Werder Bremen,1-2,https://www.besoccer.com/match/fc-nurnberg/werder-bremen/202216352,2022,13,2_liga
109,Holstein Kiel,Dynamo Dresden,2-1,https://www.besoccer.com/match/holstein-kiel/sg-dynamo-dresden/202216347,2022,13,2_liga
110,Fortuna Düsseldorf,Hannover 96,1-1,https://www.besoccer.com/match/fortuna-dusseldorf/hannover-96/202216348,2022,13,2_liga
111,Paderborn,Ingolstadt 04,2-1,https://www.besoccer.com/match/paderborn/fc-ingolstadt-04/202216350,2022,13,2_liga
112,Jahn Regensburg,Hansa Rostock,2-3,https://www.besoccer.com/match/ssv-jahn-regensburg/hansa-rostock/202216354,2022,13,2_liga
113,Karlsruher SC,Hamburger SV,1-1,https://www.besoccer.com/match/karlsruher-sc/hamburger-sv/202216349,2022,13,2_liga
114,Schalke 04,Darmstadt 98,2-4,https://www.besoccer.com/match/schalke-04/darmstadt-98/202216346,2022,13,2_liga
115,Erzgebirge Aue,Heidenheim,2-0,https://www.besoccer.com/match/fc-erzgebirge-aue/heidenheim/202216353,2022,13,2_liga
116,FC St. Pauli,Sandhausen,3-1,https://www.besoccer.com/match/st-pauli/sv-sandhausen/202216351,2022,13,2_liga
117,Hannover 96,Paderborn,0-0,https://www.besoccer.com/match/hannover-96/paderborn/202216359,2022,14,2_liga
118,Sandhausen,Nürnberg,1-2,https://www.besoccer.com/match/sv-sandhausen/fc-nurnberg/202216360,2022,14,2_liga
119,Hamburger SV,Jahn Regensburg,4-1,https://www.besoccer.com/match/hamburger-sv/ssv-jahn-regensburg/202216356,2022,14,2_liga
120,Darmstadt 98,FC St. Pauli,4-0,https://www.besoccer.com/match/darmstadt-98/st-pauli/202216357,2022,14,2_liga
121,Hansa Rostock,Erzgebirge Aue,1-2,https://www.besoccer.com/match/hansa-rostock/fc-erzgebirge-aue/202216362,2022,14,2_liga
122,Werder Bremen,Schalke 04,1-1,https://www.besoccer.com/match/werder-bremen/schalke-04/202216355,2022,14,2_liga
123,Heidenheim,Holstein Kiel,2-1,https://www.besoccer.com/match/heidenheim/holstein-kiel/202216358,2022,14,2_liga
124,Dynamo Dresden,Fortuna Düsseldorf,1-0,https://www.besoccer.com/match/sg-dynamo-dresden/fortuna-dusseldorf/202216361,2022,14,2_liga
125,Ingolstadt 04,Karlsruher SC,1-1,https://www.besoccer.com/match/fc-ingolstadt-04/karlsruher-sc/202216363,2022,14,2_liga
126,Jahn Regensburg,Dynamo Dresden,3-1,https://www.besoccer.com/match/ssv-jahn-regensburg/sg-dynamo-dresden/202216372,2022,15,2_liga
127,Fortuna Düsseldorf,Heidenheim,0-1,https://www.besoccer.com/match/fortuna-dusseldorf/heidenheim/202216367,2022,15,2_liga
128,Schalke 04,Sandhausen,5-2,https://www.besoccer.com/match/schalke-04/sv-sandhausen/202216364,2022,15,2_liga
129,Karlsruher SC,Hannover 96,4-0,https://www.besoccer.com/match/karlsruher-sc/hannover-96/202216368,2022,15,2_liga
130,Erzgebirge Aue,Darmstadt 98,1-2,https://www.besoccer.com/match/fc-erzgebirge-aue/darmstadt-98/202216371,2022,15,2_liga
131,Holstein Kiel,Werder Bremen,2-1,https://www.besoccer.com/match/holstein-kiel/werder-bremen/202216365,2022,15,2_liga
132,Hamburger SV,Ingolstadt 04,3-0,https://www.besoccer.com/match/hamburger-sv/fc-ingolstadt-04/202216366,2022,15,2_liga
133,Paderborn,Hansa Rostock,1-1,https://www.besoccer.com/match/paderborn/hansa-rostock/202216369,2022,15,2_liga
134,Nürnberg,FC St. Pauli,2-3,https://www.besoccer.com/match/fc-nurnberg/st-pauli/202216370,2022,15,2_liga
135,Werder Bremen,Erzgebirge Aue,4-0,https://www.besoccer.com/match/werder-bremen/fc-erzgebirge-aue/202216373,2022,16,2_liga
136,Darmstadt 98,Fortuna Düsseldorf,1-3,https://www.besoccer.com/match/darmstadt-98/fortuna-dusseldorf/202216374,2022,16,2_liga
137,Nürnberg,Holstein Kiel,2-1,https://www.besoccer.com/match/fc-nurnberg/holstein-kiel/202216377,2022,16,2_liga
138,Sandhausen,Paderborn,1-1,https://www.besoccer.com/match/sv-sandhausen/paderborn/202216379,2022,16,2_liga
139,Hansa Rostock,Ingolstadt 04,1-1,https://www.besoccer.com/match/hansa-rostock/fc-ingolstadt-04/202216381,2022,16,2_liga
140,FC St. Pauli,Schalke 04,2-1,https://www.besoccer.com/match/st-pauli/schalke-04/202216376,2022,16,2_liga
141,Heidenheim,Jahn Regensburg,3-0,https://www.besoccer.com/match/heidenheim/ssv-jahn-regensburg/202216375,2022,16,2_liga
142,Hannover 96,Hamburger SV,1-0,https://www.besoccer.com/match/hannover-96/hamburger-sv/202216378,2022,16,2_liga
143,Dynamo Dresden,Karlsruher SC,3-1,https://www.besoccer.com/match/sg-dynamo-dresden/karlsruher-sc/202216380,2022,16,2_liga
144,Schalke 04,Nürnberg,4-1,https://www.besoccer.com/match/schalke-04/fc-nurnberg/202216382,2022,17,2_liga
145,Jahn Regensburg,Werder Bremen,2-3,https://www.besoccer.com/match/ssv-jahn-regensburg/werder-bremen/202216389,2022,17,2_liga
146,Holstein Kiel,Sandhausen,2-2,https://www.besoccer.com/match/holstein-kiel/sv-sandhausen/202216383,2022,17,2_liga
